,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
0,0.0025363445281982424,0.0011270524866791843,0.0023023605346679686,0.0006780363063095499,0.1,lbfgs,"{'C': 0.1, 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,0.0022183895111083985,0.00029361546062268583,0.0015701770782470704,0.00018673599424508163,0.1,newton-cg,"{'C': 0.1, 'solver': 'newton-cg'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2,0.0015841484069824218,0.0005741404450268533,0.001838350296020508,0.00033850490181619745,0.1,sag,"{'C': 0.1, 'solver': 'sag'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3,0.0014109611511230469,8.958677648548427e-05,0.0013997077941894532,0.0001251084222851565,0.1,saga,"{'C': 0.1, 'solver': 'saga'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
4,0.002417325973510742,0.0004047588618746381,0.0015932559967041016,0.0002258479487430024,1.0,lbfgs,"{'C': 1, 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,0.9736842105263158,0.9947368421052631,0.010526315789473672,5,1.0,1.0,1.0,1.0,0.9747545582047685,0.9949509116409537,0.010098176718092588,5
5,0.002218818664550781,7.989784730951474e-05,0.0013057708740234375,0.00011352183912603004,1.0,newton-cg,"{'C': 1, 'solver': 'newton-cg'}",1.0,1.0,1.0,1.0,0.9736842105263158,0.9947368421052631,0.010526315789473672,5,1.0,1.0,1.0,1.0,0.9747545582047685,0.9949509116409537,0.010098176718092588,5
6,0.0024364948272705077,0.00030144144900051066,0.0017814159393310547,0.0003992963126990968,1.0,sag,"{'C': 1, 'solver': 'sag'}",1.0,1.0,1.0,1.0,0.9736842105263158,0.9947368421052631,0.010526315789473672,5,1.0,1.0,1.0,1.0,0.9747545582047685,0.9949509116409537,0.010098176718092588,5
7,0.0052586555480957035,0.0006045153469454109,0.0016714572906494141,0.0002827550104896193,1.0,saga,"{'C': 1, 'solver': 'saga'}",1.0,1.0,1.0,1.0,0.9736842105263158,0.9947368421052631,0.010526315789473672,5,1.0,1.0,1.0,1.0,0.9747545582047685,0.9949509116409537,0.010098176718092588,5
8,0.002606105804443359,0.00027355879715325527,0.001768350601196289,0.00037599950910419594,10.0,lbfgs,"{'C': 10, 'solver': 'lbfgs'}",1.0,0.9736842105263158,0.9736842105263158,1.0,0.9736842105263158,0.9842105263157895,0.012892051277806186,9,1.0,0.9751724137931035,0.9751724137931035,1.0,0.9747545582047685,0.9850198771581951,0.012232170726247663,9
9,0.005263996124267578,0.0048160669340805125,0.004480504989624023,0.005824917870862257,10.0,newton-cg,"{'C': 10, 'solver': 'newton-cg'}",1.0,0.9736842105263158,0.9736842105263158,1.0,0.9736842105263158,0.9842105263157895,0.012892051277806186,9,1.0,0.9751724137931035,0.9751724137931035,1.0,0.9747545582047685,0.9850198771581951,0.012232170726247663,9
10,0.021764612197875975,0.011189645085409186,0.0015885353088378907,0.000139721538182898,10.0,sag,"{'C': 10, 'solver': 'sag'}",1.0,0.9736842105263158,0.9736842105263158,1.0,0.9736842105263158,0.9842105263157895,0.012892051277806186,9,1.0,0.9751724137931035,0.9751724137931035,1.0,0.9747545582047685,0.9850198771581951,0.012232170726247663,9
11,0.03284049034118652,0.006005691559685105,0.0024034976959228516,0.0008797673351998641,10.0,saga,"{'C': 10, 'solver': 'saga'}",1.0,0.9736842105263158,0.9736842105263158,1.0,0.9736842105263158,0.9842105263157895,0.012892051277806186,9,1.0,0.9751724137931035,0.9751724137931035,1.0,0.9747545582047685,0.9850198771581951,0.012232170726247663,9
